claim_id,category,claim,value,unit,scope,status,source_path,source_artifact,recomputation,public_use,caveat,verification_status,public_evidence_files
CLM-CLS-001,closing panel,The closing bundle completed 48 of 48 asset-date contexts and produced 2400 valid prices out of 2400 rows.,48/48; 2400/2400,contexts; rows,six assets over eight dates,source_verified_public_recompute_pending,Results/deployments/backfill_2025-08-20_to_2025-08-29_spx_ndx_rut_spy_intc_nvda,deployment_overview.csv,Verify expected ticker-date Cartesian count and count valid rows in pricing_book.csv.,report_and_table,Completion does not imply strict deployment pass.,pass,closing_context_pricing.csv
CLM-CLS-002,closing panel,Aggregate raw-dollar pricing RMSE is 3.5121966299 MAE is 1.4620095120 and maximum absolute error is 27.7367511151.,3.5121966299; 1.4620095120; 27.7367511151,price,six-asset closing bundle,source_verified_public_recompute_pending,Results/deployments/backfill_2025-08-20_to_2025-08-29_spx_ndx_rut_spy_intc_nvda,deployment_overview.csv; pricing_book.csv,Recompute from model minus market price over all 2400 valid rows.,report_and_table,Dollar aggregation is asset-scale dependent.,pass,closing_context_pricing.csv
CLM-CLS-003,closing panel,Quote-quality pass warning and failure rates are 0.7391666667 0.2579166667 and 0.0029166667.,0.7391666667; 0.2579166667; 0.0029166667,rates,six-asset closing bundle,source_verified_public_recompute_pending,Results/deployments/backfill_2025-08-20_to_2025-08-29_spx_ndx_rut_spy_intc_nvda,deployment_overview.csv; pricing_quality_detail.csv,Count quote_quality status over 2400 rows and divide by denominator.,report_and_table,Threshold equality semantics matter for the seven failures.,pass,closing_context_quality.csv
CLM-CLS-004,closing panel,The closing bundle has no engine-disagreement failures and no below-intrinsic rows.,0; 0,counts,six-asset closing bundle,source_verified_public_recompute_pending,Results/deployments/backfill_2025-08-20_to_2025-08-29_spx_ndx_rut_spy_intc_nvda,deployment_overview.csv; pricing_quality_detail.csv,Count material engine-disagreement and below-intrinsic flags.,report,Depends on current absolute and relative materiality rules.,pass,closing_context_quality.csv
CLM-CLS-005,closing panel,The 24 American contexts have complete pair coverage mean early-exercise premium 0.0042642779 and no negative-premium classification.,24; 1.0; 0.0042642779; 0.0,contexts; rate; price; rate,INTC NVDA SPY over eight dates,source_verified_public_recompute_pending,Results/deployments/backfill_2025-08-20_to_2025-08-29_spx_ndx_rut_spy_intc_nvda,deployment_overview.csv; early_exercise_summary.csv,Filter American contexts; verify matched pairs and aggregate premium and negative classifications.,report_and_table,Premium is model-conditional and averaged across heterogeneous contracts.,pass,closing_early_exercise_context.csv
CLM-CLS-006,closing panel,The signal layer emits 414 rows and 61 alerts consisting of 38 review 23 watch and zero high alerts.,414; 61; 38; 23; 0,counts,six-asset closing bundle,source_verified_public_recompute_pending,Results/deployments/backfill_2025-08-20_to_2025-08-29_spx_ndx_rut_spy_intc_nvda,deployment_overview.csv; alert_book.csv,Count signal rows and alert priorities.,report,Signals are descriptive and not validated alpha.,pass,closing_alert_counts.csv
CLM-CLS-007,closing panel,The strict deployment validator fails with one failure and two warnings because seven quotes equal the 40 percent relative-spread limit.,fail; 1; 2; 7,status; counts,six-asset closing bundle,source_verified_public_recompute_pending,Results/deployments/backfill_2025-08-20_to_2025-08-29_spx_ndx_rut_spy_intc_nvda,deployment_validation.csv; pricing_quality_detail.csv,Read validation status then filter quote-quality failures and verify relative_spread equals threshold under configured comparison semantics.,report,This is a liquidity-policy failure and must not be relabeled as an engine failure.,pass,closing_failure_attribution.csv;closing_validation_checks.csv
CLM-TST-001,validation,An independent Phase 1 rerun passed all 195 Python tests.,195,tests,private frozen revision,verified_at_freeze,tests; release/volsurf-pricer/snapshot_manifest.yaml,unittest output on 2026-07-12,Run python -m unittest discover -s tests -p test_*.py from the frozen revision.,context_and_report,Passing tests do not substitute for independent model validation.,documented_not_publicly_recomputed,
CLM-TST-002,validation,An independent clean C++ configure and release build completed and CTest passed one of one tests.,1/1,tests,ProjectB_Cpp frozen revision,verified_at_freeze,ProjectB_Cpp; release/volsurf-pricer/snapshot_manifest.yaml,CMake build and CTest output on 2026-07-12,Configure in a fresh out-of-tree directory build Release and run CTest with output on failure.,context_and_report,Coverage depth is limited despite pass status.,documented_not_publicly_recomputed,
CLM-REP-001,repo research,The smoothed local-window repo branch retained high common support but worsened the aggregate repaired-grid comparison despite local context wins.,202 contexts; 0.9747524752 mean support; 80 wins,contexts; ratio; contexts,five atomic European families on the frozen August panel,public_recomputed,evidence/data/local_repo_common_support.csv,exact common-support context aggregates,"Inner-join contracts privately, export only context sufficient statistics, then count contexts and wins.",report_and_figure,Raw-price scale is asset dependent and context wins do not imply aggregate promotion.,pass,local_repo_common_support.csv
CLM-REL-001,validation,The restructured public release passed 48 Python tests and six CTest suites in its final reseal.,48; 6,tests; CTest suites,public release tree,public_recomputed,phase2_manifest.yaml,final_reseal,Read final clean-environment test counts and rerun before release.,report_and_docs,Passing software tests is not independent economic model validation.,pass,phase2_manifest.yaml
